Designator,Footprint,Quantity,Value,LCSC Part #
12VLED1,0402,1,12V_LED,
3V3LED1,0402,1,3V3LED,
"BOOTJUMPER1, ENJUMPER1",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,
"C1, C16, C20, C24, C26",0402,5,10uF,
"C10, C11, C27, C3, C39, C45, C5, C6, C8",0402,9,0.1uF,
C12,0402,1,4.2pF,
"C13, C14",0402,2,C,
"C15, C38",0402,2,100nF,
C17,0402,1,47nF,
"C2, C22, C28, C4, C7",0402,5,1uF,
C21,0603,1,10uF,
C23,0603,1,22uF,
"C25, C29",0402,2,4.7uF,
"C30, C32, C33, C35, C37",1206,5,47uF,
"C31, C34, C36, C40, C41, C42, C43, C44, C47, C49",1206,10,DNP,
"C46, C48",0805,2,DNP,
C9,0402,1,10nF,
CANRXLED1,0402,1,CANRXLED,
CANTXLED1,0402,1,CANTXLED,
D1,SOT-23,1,SM712_SOT23,
D2,SOT-143,1,SP0503BAHT,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
J1,Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal,1,RBUS,
J2,PinSocket_2x04_P2.54mm_Vertical,1,GPIO Breakout,
J3,Molex_Nano-Fit_105313-xx03_1x03_P2.50mm_Horizontal,1,ServoCH1,
J4,Molex_Nano-Fit_105313-xx03_1x03_P2.50mm_Horizontal,1,ServoCH2,
J5,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
JP1,SmallerSolderJP,1,TermJP,
L1,0402,1,2.0nH,
L2,0402,1,20nH,
L3,0805,1,1uH,
L4,IND_SPM10065VT-3R3M-D,1,3.3uH,
LOGO1,iclr_logo_estd2018_10mm,1,ICLR LOGO,
Q1,SOT-723,1,"SSM3K15AMFV,L3F",
"R1, R14, R17, R18, R20, R3, R38",0402,7,10K,
"R10, R9",0603,2,60,
"R11, R12",0402,2,5.1k,
"R13, R2, R37, R4",0402,4,470,
R15,0402,1,14k,
R16,0402,1,56k,
R19,0402,1,130k,
R21,0402,1,2.2,
R22,0402,1,200k,
R23,0402,1,100k,
R24,0402,1,294k,
"R25, R26, R27, R39",0402,4,1k,
"R28, R29, R30, R31, R32, R33",0402,6,DNP,
R34,0402,1,2.2k,
"R35, R36",0402,2,1.5k,
R5,0402,1,47.5,
R6,0402,1,499,
R7,0402,1,3k,
R8,0603,1,0,
SERVOLED1,0402,1,6V_LED,
"TP1, TP10, TP2, TP9",TestPoint_Pad_D1.0mm,4,TestPoint,
"TP4, TP5, TP6, TP7, TP8",TestPoint_Pad_D1.5mm,5,TestPoint,
TXLED1,0402,1,TX_LED,
U1,QFN40P700X700X90-57N,1,ESP32-S3,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U3,SOTFL50P160X60-8N,1,LM66200DRLR,
U4,CONV_MAX77827AEFD+T,1,MAX77827AEFD+T,
U5,SOIC127P599X175-9N,1,SC4215,
U6,SiC437BEDT1GE3,1,SiC437BED-T1-GE3,
USBLED1,0402,1,USB_LED,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,40MHz±10ppm,
